ophys_session_id,ophys_experiment_id,date_of_acquisition,rig_id,rig_name,screen_center_x_mm,screen_center_y_mm,screen_center_z_mm
768476976,768898762,2018-10-25 11:05:39.176000,480119305,CAM2P.1,118.6,86.2,31.6
768606677,768902482,2018-10-25 12:18:15.197000,480119307,CAM2P.2,118.6,86.2,31.6
768648163,768899704,2018-10-25 12:52:45.423000,480119305,CAM2P.1,118.6,86.2,31.6
768653642,768865460,2018-10-25 19:46:45,604519819,CAM2P.6,118.6,86.2,31.6
768746295,,2018-10-25 14:53:27.127000,,,,,
768780431,768871217,2018-10-25 21:42:16,604519819,CAM2P.6,118.6,86.2,31.6
768807532,768907052,2018-10-25 15:27:58.489000,480119307,CAM2P.2,118.6,86.2,31.6
768830296,768903836,2018-10-25 16:06:39.730000,506540632,CAM2P.3,118.6,86.2,31.6
768848370,768873945,2018-10-25 16:50:45.261000,604519819,CAM2P.6,118.6,86.2,31.6
768939823,769536618,2018-10-26 08:21:27.343000,480119307,CAM2P.2,118.6,86.2,31.6
768939913,769536358,2018-10-26 08:35:07.583000,480119305,CAM2P.1,118.6,86.2,31.6
769226630,769537982,2018-10-26 11:40:58.452000,480119307,CAM2P.2,118.6,86.2,31.6
769275162,769537303,2018-10-26 12:01:53.897000,480119305,CAM2P.1,118.6,86.2,31.6
769286804,769505341,2018-10-26 12:33:38.361000,604519819,CAM2P.6,118.6,86.2,31.6
769324469,769442187,,722885523,DS.1,,,
769324469,769442203,,722885523,DS.1,,,
769324469,769442219,,722885523,DS.1,,,
769324469,769442235,,722885523,DS.1,,,
769382457,769514560,2018-10-26 20:24:01,604519819,CAM2P.6,118.6,86.2,31.6
769390352,769539542,2018-10-26 15:06:59.594000,506540632,CAM2P.3,118.6,86.2,31.6
769464890,769521208,2018-10-26 22:03:23,604519819,CAM2P.6,118.6,86.2,31.6
769497541,,2018-10-26 16:39:27.627000,,,,,
769667208,770103366,2018-10-29 08:26:14.069000,480119307,CAM2P.2,118.6,86.2,31.6
769667739,770103249,2018-10-29 08:36:58.620000,480119305,CAM2P.1,118.6,86.2,31.6
769727665,770105949,2018-10-29 11:08:37.644000,523490076,CAM2P.4,118.6,86.2,31.6
769758171,770052376,2018-10-29 18:28:41,604519819,CAM2P.6,118.6,86.2,31.6
769783100,770104216,2018-10-29 12:47:36.449000,480119305,CAM2P.1,118.6,86.2,31.6
769811903,770104700,2018-10-29 13:11:22.911000,480119307,CAM2P.2,118.6,86.2,31.6
769832716,769992434,2018-10-29 13:36:36.424000,722885523,DS.1,118.6,86.2,31.6
769832716,769992447,2018-10-29 13:36:36.424000,722885523,DS.1,118.6,86.2,31.6
769832716,769992460,2018-10-29 13:36:36.424000,722885523,DS.1,118.6,86.2,31.6
769832716,769992472,2018-10-29 13:36:36.424000,722885523,DS.1,118.6,86.2,31.6
769832716,769992484,2018-10-29 13:36:36.424000,722885523,DS.1,118.6,86.2,31.6
769832716,769992496,2018-10-29 13:36:36.424000,722885523,DS.1,118.6,86.2,31.6
769856682,770074626,2018-10-29 20:27:47,604519819,CAM2P.6,118.6,86.2,31.6
769951302,770094844,2018-10-29 21:57:48,604519819,CAM2P.6,118.6,86.2,31.6
769965141,781304498,2018-10-29 16:31:02,769904239,MESO.1,118.6,86.2,31.6
769965141,781304500,2018-10-29 16:31:02,769904239,MESO.1,118.6,86.2,31.6
769965141,781304504,2018-10-29 16:31:02,769904239,MESO.1,118.6,86.2,31.6
769965141,781304508,2018-10-29 16:31:02,769904239,MESO.1,118.6,86.2,31.6
769965141,781304512,2018-10-29 16:31:02,769904239,MESO.1,118.6,86.2,31.6
769965141,781304514,2018-10-29 16:31:02,769904239,MESO.1,118.6,86.2,31.6
769965141,781304516,2018-10-29 16:31:02,769904239,MESO.1,118.6,86.2,31.6
769965141,781304520,2018-10-29 16:31:02,769904239,MESO.1,118.6,86.2,31.6
769988496,,2018-10-29 22:36:19,,,,,
770058134,,2018-10-04 19:00:00,,,,,
770127462,770646886,2018-10-30 08:35:06.462000,480119305,CAM2P.1,118.6,86.2,31.6
770192152,770419045,2018-10-30 10:33:26.622000,722885523,DS.1,118.6,86.2,31.6
770192152,770419062,2018-10-30 10:33:26.622000,722885523,DS.1,118.6,86.2,31.6
770192152,770419079,2018-10-30 10:33:26.622000,722885523,DS.1,118.6,86.2,31.6
770192152,770419096,2018-10-30 10:33:26.622000,722885523,DS.1,118.6,86.2,31.6
770192152,770419113,2018-10-30 10:33:26.622000,722885523,DS.1,118.6,86.2,31.6
770192152,770419130,2018-10-30 10:33:26.622000,722885523,DS.1,118.6,86.2,31.6
770215216,770649677,2018-10-30 10:32:57.967000,480119307,CAM2P.2,118.6,86.2,31.6
770215287,,2018-10-30 10:54:25.108000,,,,,
770215367,770667128,2018-10-30 11:04:08.376000,523490080,CAM2P.5,118.6,86.2,31.6
770216325,770649697,2018-10-30 11:18:42.022000,480119305,CAM2P.1,118.6,86.2,31.6
770216854,770474921,2018-10-30 17:43:09,604519819,CAM2P.6,118.6,86.2,31.6
770233337,770358392,2018-10-30 12:10:10.172000,722885523,DS.1,118.6,86.2,31.6
770233337,770358422,2018-10-30 12:10:10.172000,722885523,DS.1,118.6,86.2,31.6
770233337,770358443,2018-10-30 12:10:10.172000,722885523,DS.1,118.6,86.2,31.6
770233337,770358472,2018-10-30 12:10:10.172000,722885523,DS.1,118.6,86.2,31.6
770233337,770358498,2018-10-30 12:10:10.172000,722885523,DS.1,118.6,86.2,31.6
770233337,770358523,2018-10-30 12:10:10.172000,722885523,DS.1,118.6,86.2,31.6
770234832,770667115,2018-10-30 13:13:04.976000,523490080,CAM2P.5,118.6,86.2,31.6
770235078,770650288,2018-10-30 12:56:01.913000,480119305,CAM2P.1,118.6,86.2,31.6
770236738,774436864,2018-10-30 13:11:53.847000,480119307,CAM2P.2,118.6,86.2,31.6
770238113,770492031,2018-10-30 13:33:08.998000,604519819,CAM2P.6,118.6,86.2,31.6
770239797,770327305,2018-10-30 13:59:51.122000,722885523,DS.1,118.6,86.2,31.6
770239797,770327341,2018-10-30 13:59:51.122000,722885523,DS.1,118.6,86.2,31.6
770239797,770327388,2018-10-30 13:59:51.122000,722885523,DS.1,118.6,86.2,31.6
770239797,770327431,2018-10-30 13:59:51.122000,722885523,DS.1,118.6,86.2,31.6
770239797,770327467,2018-10-30 13:59:51.122000,722885523,DS.1,118.6,86.2,31.6
770239797,770327514,2018-10-30 13:59:51.122000,722885523,DS.1,118.6,86.2,31.6
770246989,,2018-09-21 19:00:00,,,,,
770248369,770474296,2018-10-30 15:31:00.122000,722885523,DS.1,118.6,86.2,31.6
770248369,770474310,2018-10-30 15:31:00.122000,722885523,DS.1,118.6,86.2,31.6
770248369,770474327,2018-10-30 15:31:00.122000,722885523,DS.1,118.6,86.2,31.6
770248369,770474348,2018-10-30 15:31:00.122000,722885523,DS.1,118.6,86.2,31.6
770248369,770474370,2018-10-30 15:31:00.122000,722885523,DS.1,118.6,86.2,31.6
770248369,770474402,2018-10-30 15:31:00.122000,722885523,DS.1,118.6,86.2,31.6
770687839,771635906,2018-10-31 08:15:05.078000,480119307,CAM2P.2,118.6,86.2,31.6
770688187,,2018-10-31 15:32:15,,,,,
770921623,771636685,2018-10-31 10:42:22.493000,480119307,CAM2P.2,118.6,86.2,31.6
770935047,771381093,2018-10-31 17:22:52,604519819,CAM2P.6,118.6,86.2,31.6
770971214,771511750,2018-10-31 11:15:06.456000,722885523,DS.1,118.6,86.2,31.6
770971214,771511764,2018-10-31 11:15:06.456000,722885523,DS.1,118.6,86.2,31.6
770971214,771511778,2018-10-31 11:15:06.456000,722885523,DS.1,118.6,86.2,31.6
770971214,771511792,2018-10-31 11:15:06.456000,722885523,DS.1,118.6,86.2,31.6
770971214,771511806,2018-10-31 11:15:06.456000,722885523,DS.1,118.6,86.2,31.6
770971214,771511820,2018-10-31 11:15:06.456000,722885523,DS.1,118.6,86.2,31.6
771038415,771637043,2018-10-31 12:31:38.307000,480119307,CAM2P.2,118.6,86.2,31.6
771132647,771475128,2018-10-31 12:49:02.225000,722885523,DS.1,118.6,86.2,31.6
771132647,771475142,2018-10-31 12:49:02.225000,722885523,DS.1,118.6,86.2,31.6
771132647,771475156,2018-10-31 12:49:02.225000,722885523,DS.1,118.6,86.2,31.6
771132647,771475170,2018-10-31 12:49:02.225000,722885523,DS.1,118.6,86.2,31.6
771132647,771475184,2018-10-31 12:49:02.225000,722885523,DS.1,118.6,86.2,31.6
771132647,771475198,2018-10-31 12:49:02.225000,722885523,DS.1,118.6,86.2,31.6
771137397,771406112,2018-10-31 19:34:00,604519819,CAM2P.6,118.6,86.2,31.6
771154155,771637338,2018-10-31 14:08:24.919000,480119307,CAM2P.2,118.6,86.2,31.6
771177551,771637029,2018-10-31 14:28:09.204000,523490076,CAM2P.4,118.6,86.2,31.6
